base,other,smoothing_days,year,base_sharpe,other_sharpe
full_paper__pca5,full_paper_costs__pca5,1,2015,0.3106345139583851,1.5511353635837741
full_paper__pca5,full_paper_costs__pca5,1,2016,0.44580382786106765,0.4229816333474209
full_paper__pca5,full_paper_costs__pca5,5,2003,3.656914869265709,3.1769099308007074
full_paper__pca5,full_paper_costs__pca5,5,2004,3.104476689430238,2.190628398353053
full_paper__pca5,full_paper_costs__pca5,5,2005,2.8243050252203306,1.7846315710635703
full_paper__pca5,full_paper_costs__pca5,5,2006,2.2628201364077274,-0.16910435839532564
full_paper__pca5,full_paper_costs__pca5,5,2007,1.8068168065103551,-1.3290367810952117
full_paper__pca5,full_paper_costs__pca5,5,2008,4.923016192019663,0.13837760450115513
full_paper__pca5,full_paper_costs__pca5,5,2009,0.592679190595763,-0.4059436402429907
full_paper__pca5,full_paper_costs__pca5,5,2010,1.2307347284837438,2.0326719269480074
full_paper__pca5,full_paper_costs__pca5,5,2011,2.300175405343585,-0.974988749707836
full_paper__pca5,full_paper_costs__pca5,5,2012,2.169652369491075,-1.7315091081952396
full_paper__pca5,full_paper_costs__pca5,5,2013,0.44704749833354634,-0.17843881331702482
full_paper__pca5,full_paper_costs__pca5,5,2014,0.9535193896887207,0.8735031887841442
full_paper__pca5,full_paper_costs__pca5,5,2015,0.010726986136945164,1.6008090350520825
full_paper__pca5,full_paper_costs__pca5,5,2016,0.8846863739450441,0.054116051126328044
full_paper__pca5,full_paper_costs__pca5,20,2003,2.530869547511646,2.3554619587422234
full_paper__pca5,full_paper_costs__pca5,20,2004,2.5263162967654327,1.675373053665584
