run,days,gross_sharpe,gross_expected_max_sharpe,gross_dsr,gross_psr,net_sharpe,net_expected_max_sharpe,net_dsr,net_psr
ensemble__official_paper-ff5_b3__ens,2769,1.299014059398883,1.8195469264504331,0.04222110676554543,0.9999916883137088,-2.2863092994774434,4.256856757149928,1.8633520473944893e-93,4.2215760552232176e-13
ensemble__official_paper-ipca5_b10__ens,2769,1.2404788424391247,1.8195469264504331,0.025384248853469946,0.9999857189577505,-0.7908409377981341,4.256856757149928,9.536968617673411e-61,0.005092684228004872
ensemble__official_recipe-ipca5_cw0.25_b10__ens,2769,1.2087240687693819,1.8195469264504331,0.017800380081878776,0.9999839800679736,-0.141853932852573,4.256856757149928,8.272044285178168e-48,0.32027856932562104
official_paper_costs__ipca5__s1,2769,1.1936214187352232,1.8195469264504331,0.0164733192362757,0.9999761948667386,0.5510084933373509,4.256856757149928,3.380989770173682e-36,0.9685392974674729
ensemble__official_paper_costs-ipca5_b1__ens,2769,1.1741957385608317,1.8195469264504331,0.013174521524556866,0.9999733982912303,0.5359763915093528,4.256856757149928,7.617908292740991e-37,0.9655197152050606
official_paper_costs__ipca5__s0,2769,1.1551003022453397,1.8195469264504331,0.010455181269583157,0.9999702894964067,0.49080915824998095,4.256856757149928,6.333488479965796e-38,0.9526160037532566
ensemble__official_paper_costs-ipca5_b2__ens,2769,1.0689520581645398,1.8195469264504331,0.004947576725588032,0.9998803880465311,0.5627090843562571,4.256856757149928,2.177451779596401e-36,0.9719701401574319
ensemble__official_paper-ipca5_b20__ens,2769,1.042217806934117,1.8195469264504331,0.00483828494666691,0.99973860992496,-0.5560790710279162,4.256856757149928,4.1750459100776555e-57,0.0332482027848045
ensemble__official_paper-ff5_b5__ens,2769,0.998400466323066,1.8195469264504331,0.003029715609046371,0.9995765457094319,-1.6021531294550864,4.256856757149928,5.896440284215485e-77,2.0196650244114349e-07
ensemble__official_paper_costs-ipca5_b3__ens,2769,0.9959840910047019,1.8195469264504331,0.002333488074981578,0.9996885916212724,0.5714560531793775,4.256856757149928,2.7732675086343626e-36,0.9739254641623368
ensemble__official_recipe-ipca5_cw0.25_b20__ens,2769,0.9740362151038845,1.8195469264504331,0.0021882889048851625,0.9994861589417691,-0.12039774666053324,4.256856757149928,1.0368032897439933e-47,0.34538473683818405
ensemble__official_paper_costs-ipca5_b5__ens,2769,0.9275780944857688,1.8195469264504331,0.0011503159584214107,0.9992380646578972,0.5892701725819283,4.256856757149928,8.131024414359906e-36,0.9771634768605042
ensemble__official_paper_costs-ipca5_b10__ens,2769,0.7794870811021134,1.8195469264504331,0.00022320174503708324,0.9957480093012587,0.5305764794635667,4.256856757149928,2.62634819428267e-36,0.9627735957838177
ensemble__official_paper_costs-ipca5_b20__ens,2769,0.634912657275303,1.8195469264504331,3.686989938610121e-05,0.9831845959698052,0.4549139608890738,4.256856757149928,3.0218855869111705e-37,0.9356676366922977
ensemble__official_paper-ff5_b10__ens,2769,0.3774204027251208,1.8195469264504331,9.046885198018307e-07,0.894224269930082,-1.40625814472985,4.256856757149928,3.732204926995151e-77,2.037737019017458e-06
ensemble__official_paper-ff5_b20__ens,2769,0.21681805535284412,1.8195469264504331,5.692588382034611e-08,0.7634383407530393,-0.9911562534749311,4.256856757149928,3.9043311160934296e-68,0.0005066388685728383
