run,suite,variant,sharpe_total,sharpe_drift,sharpe_neutral,mean_drift,mean_neutral,net_exposure,corr_equal_weight,equal_weight_sharpe
ensemble__final-cnn_neutral_cw1_b20__ens,ensemble,final-cnn_neutral_cw1_b20,-0.37029139958430957,0.32093094370171826,-0.37029139991332166,1.5962191969388512e-11,-0.01714790796139549,6.019978701491904e-12,-0.05412904984273525,0.44263575286396684
ensemble__final-cnn_neutral_cw1_b2__ens,ensemble,final-cnn_neutral_cw1_b2,-0.008564861714008266,-0.6599023316791883,-0.008564860976407958,-3.267924073419202e-11,-0.0003791211040452955,2.381937799768664e-10,-0.006183799975643684,0.44263575286396684
ensemble__final-cnn_neutral_cw1_b3__ens,ensemble,final-cnn_neutral_cw1_b3,0.062155431566783916,0.3627935085901379,0.06215543112738226,1.947004295679873e-11,0.0027552837202156045,5.854697741074677e-11,-0.0034970665253803387,0.44263575286396684
ensemble__final-cnn_neutral_cw1_b5__ens,ensemble,final-cnn_neutral_cw1_b5,0.02251881120013022,0.42710708513046175,0.022518810718293068,2.1596288556959558e-11,0.0010050762722247073,1.2285675825741122e-10,-0.004963410669762458,0.44263575286396684
ensemble__full_paper-ff5_b10__ens,ensemble,full_paper-ff5_b10,0.7975797895606714,0.7455287385078314,0.3903939683441781,0.011090957816455683,0.010899567910399267,0.3324913811733465,0.08217906852103288,0.8209217551034704
ensemble__full_paper-ff5_b1__ens,ensemble,full_paper-ff5_b1,2.122865814693347,0.37207945123279706,1.9399192195879107,0.003985763857110627,0.05315081603804813,0.16647920327219154,0.03147212050642351,0.8209217551034704
ensemble__full_paper-ff5_b20__ens,ensemble,full_paper-ff5_b20,0.4738655531179387,0.9369376180378979,-0.016014680873525443,0.013911750340598383,-0.0004304734254506658,0.43885104736779523,0.13217906829605544,0.8209217551034704
ensemble__full_paper-ff5_b3__ens,ensemble,full_paper-ff5_b3,1.769767514599481,0.7387369488631484,1.409507005718715,0.009008278234564786,0.038840363644560984,0.22306689377402092,0.04609410570767237,0.8209217551034704
ensemble__full_paper-ff5_b5__ens,ensemble,full_paper-ff5_b5,1.4502954176464569,0.6866029671317607,0.994849452732327,0.010586750872947704,0.02900083276443407,0.26070849155583375,0.052594633426858196,0.8209217551034704
ensemble__full_paper-pca5_b10__ens,ensemble,full_paper-pca5_b10,1.3892754758032815,0.27528671013259587,1.3824275753209017,0.0006292421779071568,0.028053831501854365,0.0336167346421085,0.06933128770970015,0.18270690810397344
ensemble__full_paper-pca5_b1__ens,ensemble,full_paper-pca5_b1,2.8418439995057136,0.24231544335354002,2.845601717844255,0.00034185922165903945,0.06392434985779047,0.05884955177729448,0.06417659190577664,0.18270690810397344
