run,suite,variant,model,n_factors,neutralize,objective,smoothing_days,net_exposure,sel_sharpe,sel_net_sharpe,sel_mean,sel_net_mean,sel_turnover,sel_days,hold_sharpe,hold_net_sharpe,hold_mean,hold_net_mean,hold_turnover,hold_days,duplicate_of_earlier
ensemble__full_recipe-ff5_cw0.25_b10__ens,ensemble,full_recipe-ff5_cw0.25_b10,cnn_transformer,5,True,sharpe_costs,10,3.698495893337234e-19,1.5266857314717646,-0.44852939911310313,0.03809158683971587,-0.011195093721841087,0.290191791429195,730,0.4049139891861108,-1.2055357426840199,0.011394042329407992,-0.033924785710221964,0.2596587710185077,2769,False
ensemble__full_recipe-ff5_cw0.25_b1__ens,ensemble,full_recipe-ff5_cw0.25_b1,cnn_transformer,5,True,sharpe_costs,1,5.043290814339546e-19,2.8763995392890354,-2.3983266275876503,0.07092106338767358,-0.05917976006561184,0.9324536886896648,730,1.7884300934990247,-2.5156357674816516,0.05018024161958246,-0.0706249898428015,0.8587113489318857,2769,False
ensemble__full_recipe-ff5_cw0.25_b20__ens,ensemble,full_recipe-ff5_cw0.25_b20,cnn_transformer,5,True,sharpe_costs,20,-1.0188215899206455e-18,1.2968385063967032,-0.22885034697742654,0.03283819743895654,-0.0057969887456756335,0.20554016063298794,730,0.024984891973960137,-1.2311411195257127,0.0007091943473622318,-0.034946764054481834,0.1829655747332964,2769,False
ensemble__full_recipe-ff5_cw0.25_b3__ens,ensemble,full_recipe-ff5_cw0.25_b3,cnn_transformer,5,True,sharpe_costs,3,-4.607007116465984e-19,3.2059573684289604,-0.21236823799143698,0.07807961459645628,-0.005177435166185769,0.5601677262474197,730,1.2261332306759918,-1.481165958624934,0.03432211083353346,-0.04144811235301646,0.5013362400023247,2769,False
ensemble__full_recipe-ff5_cw0.25_b5__ens,ensemble,full_recipe-ff5_cw0.25_b5,cnn_transformer,5,True,sharpe_costs,5,6.55664989133846e-20,2.7262096258464337,0.06066797623413994,0.0671013234442035,0.001494348687863429,0.4198956122991885,730,1.0121268002320436,-1.1514449884858424,0.028152755946368308,-0.032017887449210906,0.37753052308030366,2769,False
ensemble__full_recipe-ff5_cw0.5_b10__ens,ensemble,full_recipe-ff5_cw0.5_b10,cnn_transformer,5,True,sharpe_costs,10,3.6935381240432163e-20,1.401187950848783,-0.3843151793460557,0.03738547697861642,-0.010258127732624961,0.2771336189954404,730,0.19804735396340248,-0.9870658007507993,0.006232610758385932,-0.031055351261041104,0.1959036441926311,2769,False
ensemble__full_recipe-ff5_cw0.5_b1__ens,ensemble,full_recipe-ff5_cw0.5_b1,cnn_transformer,5,True,sharpe_costs,1,8.167305190732474e-19,2.866344539728873,-2.0408245915749244,0.07448475475246424,-0.05308590579583584,0.9123454852294004,730,0.9575377001289876,-2.026191153817023,0.028856507837869087,-0.06095775242799708,0.6127005863690914,2769,False
ensemble__full_recipe-ff5_cw0.5_b20__ens,ensemble,full_recipe-ff5_cw0.5_b20,cnn_transformer,5,True,sharpe_costs,20,5.5756312922847e-19,1.244694732407345,-0.11336240541842414,0.03372326322277963,-0.003072567832354121,0.190922079280686,730,-0.0742842400851549,-0.9820456954443193,-0.002421666692437557,-0.032012236086057584,0.1348162175953318,2769,False
ensemble__full_recipe-ff5_cw0.5_b3__ens,ensemble,full_recipe-ff5_cw0.5_b3,cnn_transformer,5,True,sharpe_costs,3,1.4253586720301002e-21,3.1485404627790747,-0.03929881308012061,0.08083067446617455,-0.0010099839656663298,0.5489111051804458,730,0.6901751339162802,-1.272818538817388,0.021241835125613395,-0.03912830176365652,0.3790848318227828,2769,False
ensemble__full_recipe-ff5_cw0.5_b5__ens,ensemble,full_recipe-ff5_cw0.5_b5,cnn_transformer,5,True,sharpe_costs,5,3.2907193689042745e-19,2.606348050135444,0.15776966231146344,0.06831366583703381,0.004138295092676605,0.4085180900492321,730,0.5448011217360214,-1.0457721312977313,0.01673405237317887,-0.032094731298170816,0.2874908694010926,2769,False
ensemble__full_recipe-pca5_cw0.25_b10__ens,ensemble,full_recipe-pca5_cw0.25_b10,cnn_transformer,5,True,sharpe_costs,10,2.7174772942834735e-19,2.2357587451152807,-0.40985200158417673,0.046951243607643765,-0.008611520855330646,0.3400703078578285,730,1.2768563490911866,-0.5268850646499592,0.03142419346351004,-0.012958080624614647,0.2522232231910044,2769,False
ensemble__full_recipe-pca5_cw0.25_b1__ens,ensemble,full_recipe-pca5_cw0.25_b1,cnn_transformer,5,True,sharpe_costs,1,1.0987656197866817e-19,4.346008490943919,-2.431051078887575,0.0884153881948178,-0.04949702064159808,0.9945354415767073,730,2.5898234274730565,-2.3238597473258222,0.0667092689717845,-0.059615682488782434,0.9025568887142005,2769,False
ensemble__full_recipe-pca5_cw0.25_b20__ens,ensemble,full_recipe-pca5_cw0.25_b20,cnn_transformer,5,True,sharpe_costs,20,-1.1174811988715985e-18,1.52092359310973,-0.7044441622086806,0.030616687864829614,-0.014182226198743776,0.2545257393952334,730,0.9459583539483686,-0.4563470140709634,0.023404069189714976,-0.011284562553059162,0.17527429253799803,2769,False
ensemble__full_recipe-pca5_cw0.25_b3__ens,ensemble,full_recipe-pca5_cw0.25_b3,cnn_transformer,5,True,sharpe_costs,3,-5.848308603455676e-19,4.110848761701187,-0.5097765593339093,0.08080358828082909,-0.010020202689293984,0.6203036058113057,730,1.9633302844198304,-1.18271044183452,0.04811607334618823,-0.02892422630260929,0.5114237753872876,2769,False
ensemble__full_recipe-pca5_cw0.25_b5__ens,ensemble,full_recipe-pca5_cw0.25_b5,cnn_transformer,5,True,sharpe_costs,5,-7.139187783385545e-19,3.0790481552851983,-0.49279992882418916,0.062420919227964534,-0.009995172167330821,0.47401035032298305,730,1.7144887469770211,-0.7338807266746374,0.04199599798284559,-0.01794992929856608,0.3757418586633551,2769,False
ensemble__full_recipe-pca5_cw0.5_b10__ens,ensemble,full_recipe-pca5_cw0.5_b10,cnn_transformer,5,True,sharpe_costs,10,-4.766895176198057e-19,2.090828124710561,-0.40045019660116005,0.04535618679093407,-0.008691095263160168,0.3280261708743227,730,0.9650222160673358,-0.6212673120159504,0.02501519487293149,-0.01609342033353825,0.22623707071621152,2769,False
ensemble__full_recipe-pca5_cw0.5_b1__ens,ensemble,full_recipe-pca5_cw0.5_b1,cnn_transformer,5,True,sharpe_costs,1,7.706232646388824e-19,4.143204404778268,-2.252754473762164,0.0862673251357222,-0.04693845939116063,0.9571300401139565,730,2.2163118157909243,-1.8191007168391298,0.06032616539831024,-0.04932621811830367,0.7701992722361215,2769,False
ensemble__full_recipe-pca5_cw0.5_b20__ens,ensemble,full_recipe-pca5_cw0.5_b20,cnn_transformer,5,True,sharpe_costs,20,4.559908308172816e-19,1.3553580531198652,-0.7079943719165945,0.028377528847711445,-0.01482486417232724,0.24183755638980242,730,0.5924092202249696,-0.6425048946412654,0.01571901613036036,-0.01703882015332368,0.159949112533344,2769,False
ensemble__full_recipe-pca5_cw0.5_b3__ens,ensemble,full_recipe-pca5_cw0.5_b3,cnn_transformer,5,True,sharpe_costs,3,1.0074187205444047e-18,3.916792053241448,-0.4961506870910281,0.0787127228196874,-0.009970775654064899,0.60329385640082,730,1.5639259689590146,-1.1240398551497346,0.040160841311703166,-0.02879516968374875,0.44724996503422526,2769,False
ensemble__full_recipe-pca5_cw0.5_b5__ens,ensemble,full_recipe-pca5_cw0.5_b5,cnn_transformer,5,True,sharpe_costs,5,-6.000760009246721e-19,2.9589694963346838,-0.4279971268538763,0.06176304892397085,-0.00893720761512456,0.4603739333457586,730,1.349837243669701,-0.7897707791331541,0.03435236883014629,-0.020068033878554836,0.33188020991566186,2769,False
ensemble__full_recipe-pca8_cw0.25_b10__ens,ensemble,full_recipe-pca8_cw0.25_b10,cnn_transformer,8,True,sharpe_costs,10,-6.919186770963508e-19,2.1839707051502635,-0.5253587793356712,0.04410976429756233,-0.010614860525693421,0.3334092812613289,730,1.3731050800494913,-0.35318275471503874,0.032855646555769766,-0.008445869050827207,0.22775285175963783,2769,False
ensemble__full_recipe-pca8_cw0.25_b1__ens,ensemble,full_recipe-pca8_cw0.25_b1,cnn_transformer,8,True,sharpe_costs,1,2.1529113159272034e-19,3.9998905686777175,-2.880727404275425,0.08044369348900204,-0.05794534892659056,0.9983234367951951,730,2.625396402129864,-2.287725089790169,0.06364309757300103,-0.05521729767833428,0.8432924404491895,2769,False
ensemble__full_recipe-pca8_cw0.25_b20__ens,ensemble,full_recipe-pca8_cw0.25_b20,cnn_transformer,8,True,sharpe_costs,20,5.910280719630898e-19,1.534943456098976,-0.6241973278393222,0.03073666607661962,-0.012503460116668398,0.24213743681387206,730,1.3901327038380284,0.05219024645676555,0.03361194471873017,0.0012609570945525486,0.1567158004606426,2769,False
ensemble__full_recipe-pca8_cw0.25_b3__ens,ensemble,full_recipe-pca8_cw0.25_b3,cnn_transformer,8,True,sharpe_costs,3,-8.391024530125025e-20,3.896250912049774,-0.788651711768114,0.07573542986792958,-0.015330310540690024,0.6222264735155231,730,2.0963265765293806,-0.9783825825328295,0.04937421797555693,-0.02299235679245853,0.47430817112914997,2769,False
ensemble__full_recipe-pca8_cw0.25_b5__ens,ensemble,full_recipe-pca8_cw0.25_b5,cnn_transformer,8,True,sharpe_costs,5,-6.163746674787555e-19,3.0978771893835293,-0.49940666471545186,0.06220171458296429,-0.010034332762660575,0.4725794691827023,730,1.7768370734594494,-0.5601961432988899,0.04267746097325543,-0.013432275341881104,0.34527039089497236,2769,False
ensemble__full_recipe-pca8_cw0.5_b10__ens,ensemble,full_recipe-pca8_cw0.5_b10,cnn_transformer,8,True,sharpe_costs,10,2.1244041424866014e-19,2.042854748449009,-0.32335416008590434,0.043427546757032066,-0.006875411539959885,0.29826855179747624,730,0.9089367478087597,-0.7406924655892029,0.021219273415908204,-0.017283545371234728,0.205544589250589,2769,False
ensemble__full_recipe-pca8_cw0.5_b1__ens,ensemble,full_recipe-pca8_cw0.5_b1,cnn_transformer,8,True,sharpe_costs,1,1.0322075670144935e-18,3.904506452550044,-2.3531563814061824,0.08153424377715598,-0.04911536469819875,0.9368150999086824,730,2.311105447403784,-2.022296120922395,0.05533135665260716,-0.04821653012064172,0.7217543090628883,2769,False
ensemble__full_recipe-pca8_cw0.5_b20__ens,ensemble,full_recipe-pca8_cw0.5_b20,cnn_transformer,8,True,sharpe_costs,20,-2.037891068305992e-18,1.3361267635852396,-0.5203740495899843,0.02783134549887112,-0.010839351620388992,0.2058223800494345,730,0.9545630204035829,-0.3331075438383269,0.02260734382004006,-0.007883305616820473,0.1419588741545902,2769,False
ensemble__full_recipe-pca8_cw0.5_b3__ens,ensemble,full_recipe-pca8_cw0.5_b3,cnn_transformer,8,True,sharpe_costs,3,2.3760109341580015e-19,3.730452475067796,-0.5476065485786058,0.07499429979489246,-0.011005596023020913,0.5819662066657803,730,1.6583381451901373,-1.154456780537109,0.03852853727667285,-0.02676850538234624,0.41819784647097913,2769,False
ensemble__full_recipe-pca8_cw0.5_b5__ens,ensemble,full_recipe-pca8_cw0.5_b5,cnn_transformer,8,True,sharpe_costs,5,1.3712880006672192e-18,2.967518024426852,-0.2627636081880015,0.06209062514801924,-0.005501886254571779,0.4356754558744619,730,1.2858831471784031,-0.9023947588812334,0.03018754851850325,-0.021160155538508196,0.3074805998352944,2769,False
