run,suite,variant,model,n_factors,neutralize,objective,smoothing_days,net_exposure,sel_sharpe,sel_net_sharpe,sel_mean,sel_net_mean,sel_turnover,sel_days,hold_sharpe,hold_net_sharpe,hold_mean,hold_net_mean,hold_turnover,hold_days,duplicate_of_earlier
factors__ou_threshold_k5__s0,factors,ou_threshold_k5,ou_threshold,5,False,sharpe,1,0.00422892631587352,-0.34196120486977405,-2.0391038451022476,-0.02975762046104117,-0.17753223302597307,1.0739503825568173,731,-0.17911804765966371,-1.8612510425377458,-0.015268689993726178,-0.15907299994150353,1.0414941353839977,752,False
factors__ou_threshold_k8__s0,factors,ou_threshold_k8,ou_threshold,8,False,sharpe,1,0.023053807506007433,0.20354068866898922,-1.7564578600938598,0.014930691176243833,-0.12897987870599653,1.045517642102013,731,-0.22031634834162445,-2.0859121351349463,-0.016962031277671735,-0.16069150274996016,1.0431415930430041,752,False
final__cnn_neutral_cw0.25__s0,final,cnn_neutral_cw0.25,cnn_transformer,5,True,sharpe_costs,1,-1.6617240838758686e-09,0.659383734509017,-2.3908095644878267,0.029907624605554288,-0.10840592844958064,0.997723497269606,731,0.13212609730220584,-2.1128193383898837,0.005834241315393452,-0.09344624552276412,0.6878305242476871,752,False
final__cnn_neutral_cw0.25__s1,final,cnn_neutral_cw0.25,cnn_transformer,5,True,sharpe_costs,1,4.2454716688308466e-10,0.8491469321786616,-1.6190061074641944,0.039922641466565566,-0.0761122144287265,0.8206662275888331,731,-0.04445720064111206,-2.7743591027496484,-0.0020469382424215254,-0.1283348401028842,0.9029963971969717,752,False
final__cnn_neutral_cw0.25__s2,final,cnn_neutral_cw0.25,cnn_transformer,5,True,sharpe_costs,1,-1.5774113511607113e-09,0.6959610643063535,-2.0834962567316904,0.031218351706450088,-0.09371965731002951,0.8914229678391153,731,0.2970013687730483,-2.276240576836876,0.013648868092000272,-0.10447947242120786,0.8383698455101332,752,False
final__cnn_neutral_cw0.5__s0,final,cnn_neutral_cw0.5,cnn_transformer,5,True,sharpe_costs,1,2.600112270541233e-09,0.2914239958362059,-2.025692635794998,0.011803913535947144,-0.08207081793383755,0.6445513017179508,731,0.16174913729876564,-1.539613101152932,0.007189956763534678,-0.06862126260975922,0.502087229593861,752,False
final__cnn_neutral_cw0.5__s1,final,cnn_neutral_cw0.5,cnn_transformer,5,True,sharpe_costs,1,-1.2999771754305266e-10,0.6408743530876085,-0.9272602224569634,0.028204721479964827,-0.04086116310878276,0.4473859711874193,731,-0.3028826709748643,-1.8982620717478382,-0.014610854688626032,-0.09172728640703925,0.512434030968087,752,False
final__cnn_neutral_cw0.5__s2,final,cnn_neutral_cw0.5,cnn_transformer,5,True,sharpe_costs,1,4.926192499549629e-10,0.6063721047701723,-1.5363432286857375,0.02553385671685032,-0.06487847883024736,0.6170343258874124,731,0.15443103394938518,-1.2708912166107675,0.007138930246045014,-0.05870236073819944,0.4229344742318932,752,False
final__cnn_neutral_cw0.5_k10__s0,final,cnn_neutral_cw0.5_k10,cnn_transformer,10,True,sharpe_costs,1,-3.6484904316287247e-10,-0.603578994890287,-2.322308202914847,-0.022265144026635188,-0.0858363282487227,0.40371750026031505,731,0.5264776876171611,-1.1155216245201014,0.02106136613394551,-0.044624169996833864,0.4215902497927081,752,False
final__cnn_neutral_cw0.5_k10__s1,final,cnn_neutral_cw0.5_k10,cnn_transformer,10,True,sharpe_costs,1,-9.779330281807573e-10,0.08293440018851017,-1.3708194101496027,0.003071533360683372,-0.05080721114630395,0.3266880000183759,731,0.024414555738350933,-1.5833225762713607,0.0009906842527963478,-0.06431833593904698,0.41864516853795253,752,False
final__cnn_neutral_cw0.5_k10__s2,final,cnn_neutral_cw0.5_k10,cnn_transformer,10,True,sharpe_costs,1,2.6800397519723897e-10,-0.6270303428262302,-2.294559300892248,-0.022284433239280522,-0.08189778070202675,0.3722630679791776,731,0.24215480867189892,-1.250409638251847,0.009883668355910554,-0.0510131791016851,0.38359361211798415,752,False
final__cnn_neutral_cw0.5_k6__s0,final,cnn_neutral_cw0.5_k6,cnn_transformer,6,True,sharpe_costs,1,-1.81143271686914e-09,-0.012340250340711302,-1.7902689568940586,-0.000498359289488695,-0.07224116983260301,0.46866051817451576,731,0.45366990055055945,-1.1675918403576462,0.019640905700440737,-0.0505885526123608,0.45772005580377717,752,False
final__cnn_neutral_cw0.5_k6__s1,final,cnn_neutral_cw0.5_k6,cnn_transformer,6,True,sharpe_costs,1,-1.1190154807118037e-09,0.8521986103800466,-0.5276847177152992,0.034557553573757546,-0.021433711997030064,0.3434770073879631,731,-0.4388469876607939,-2.065475170387212,-0.019300870172577176,-0.09102950279733651,0.4695937453214582,752,False
