run,days,gross_sharpe,gross_expected_max_sharpe,gross_dsr,gross_psr,net_sharpe,net_expected_max_sharpe,net_dsr,net_psr
ensemble__full_recipe-ff5_cw0.25_b3__ens,2769,1.2261332306759918,1.9985497727695942,0.004188041768782818,0.9999857549899325,-1.481165958624934,2.6190882348118674,5.813056613864329e-38,1.7979016322445888e-06
ensemble__full_paper-pca5_b10__ens,2769,1.189795548620778,1.9985497727695942,0.003303009711008161,0.9999677549116025,-1.0707564302954007,2.6190882348118674,1.6198545649552453e-33,0.0002465310766498952
ensemble__full_paper-ff5_b5__ens,2769,1.1386081147165945,1.9985497727695942,0.0018341400725764682,0.9999401776880152,-1.1392495348388914,2.6190882348118674,5.0523343366132005e-34,0.00012178735691119838
full_bench__pca5_fourier_ffn__s0,2769,1.0138188152338006,1.9985497727695942,0.000506352023931924,0.9996428970381137,-2.686593150704497,2.6190882348118674,4.221730259677942e-65,3.739373317864891e-18
ensemble__full_recipe-ff5_cw0.25_b5__ens,2769,1.0121268002320436,1.9985497727695942,0.00040733344883162216,0.9997037204222537,-1.1514449884858424,2.6190882348118674,1.201721168105758e-33,0.0001191928111662781
ensemble__full_recipe-pca5_cw0.5_b10__ens,2769,0.9650222160673358,1.9985497727695942,0.00029294855607732466,0.9993367297279514,-0.6212673120159504,2.6190882348118674,6.0607724958850214e-27,0.020261210142238823
ensemble__full_recipe-ff5_cw0.5_b1__ens,2769,0.9575377001289876,1.9985497727695942,0.00025742038149667926,0.9992994768960322,-2.026191153817023,2.6190882348118674,2.6082309841988656e-50,4.415201021083564e-11
ensemble__full_recipe-pca8_cw0.5_b20__ens,2769,0.9545630204035829,1.9985497727695942,0.00024488440553891105,0.9992828764317412,-0.3331075438383269,2.6190882348118674,9.21760409172069e-23,0.13563621367317563
ensemble__full_recipe-pca5_cw0.25_b20__ens,2769,0.9459583539483686,1.9985497727695942,0.00023163977321159497,0.9991736790678515,-0.4563470140709634,2.6190882348118674,1.536883739211595e-24,0.0658808872562915
ensemble__full_paper-pca5_b20__ens,2769,0.9190992841184835,1.9985497727695942,0.00016103417718386654,0.9989027358787368,-0.8828586128177852,2.6190882348118674,6.82769056952585e-31,0.0018750220995877402
