suite,variant,sharpe_mean,sharpe_std,sharpe_count,mean_return_mean,mean_return_std,mean_return_count,volatility_mean,volatility_std,volatility_count,turnover_mean,turnover_std,turnover_count,net_sharpe_mean,net_sharpe_std,net_sharpe_count
ensemble,final-cnn_neutral_cw0.5_b3,0.5403614782656695,,1,0.0250071108567947,,1,0.0462784855372313,,1,0.3640913923958831,,1,-0.724286247367782,,1
ensemble,final-cnn_neutral_cw0.5_b5,0.5099413411690067,,1,0.0236023304885448,,1,0.0462844028970823,,1,0.2725512218208661,,1,-0.5056699672388092,,1
ensemble,final-cnn_neutral_cw0.5_k10_b1,0.1051359486760944,,1,0.004123826286336,,1,0.0392237511361679,,1,0.5459499886242686,,1,-1.9720418546957397,,1
ensemble,final-cnn_neutral_cw0.5_k10_b10,-0.394428201171759,,1,-0.0155984082610629,,1,0.0395468889261048,,1,0.1680950257426681,,1,-1.2499915833485684,,1
ensemble,final-cnn_neutral_cw0.5_k10_b2,-0.107919830452305,,1,-0.0042865359926735,,1,0.0397196323855235,,1,0.399994788128672,,1,-1.6940927339202945,,1
ensemble,final-cnn_neutral_cw0.5_k10_b20,-0.5230595146377361,,1,-0.0210728932049937,,1,0.0402877542904243,,1,0.1194172371499657,,1,-1.2111248189664272,,1
ensemble,final-cnn_neutral_cw0.5_k10_b3,-0.1337271263430973,,1,-0.0053252869305861,,1,0.0398220396729626,,1,0.3211675841825764,,1,-1.4674181778062376,,1
ensemble,final-cnn_neutral_cw0.5_k10_b5,-0.1003459542156663,,1,-0.0039835211044796,,1,0.0396978745741773,,1,0.2429790812562307,,1,-1.1901101136482848,,1
ensemble,final-cnn_neutral_cw0.5_k6_b1,0.5538211612491027,,1,0.0242546646035695,,1,0.0437951207008142,,1,0.5219488021262296,,1,-1.2364135914018888,,1
ensemble,final-cnn_neutral_cw0.5_k6_b10,0.4462430040529008,,1,0.019847753488829,,1,0.0444774558000155,,1,0.145195358161395,,1,-0.2499983654970627,,1
ensemble,final-cnn_neutral_cw0.5_k6_b2,0.536961806194227,,1,0.0234954701471962,,1,0.0437563153955452,,1,0.3617915888962538,,1,-0.7939216489922547,,1
ensemble,final-cnn_neutral_cw0.5_k6_b20,0.4613724763650254,,1,0.0204726867130596,,1,0.0443734461022816,,1,0.1009322337206761,,1,-0.1108922040176548,,1
ensemble,final-cnn_neutral_cw0.5_k6_b3,0.6276864751922528,,1,0.0276939344628386,,1,0.0441206486954436,,1,0.2866050838797976,,1,-0.4776222322515789,,1
ensemble,final-cnn_neutral_cw0.5_k6_b5,0.5335359914859836,,1,0.0237336213898555,,1,0.0444836370340333,,1,0.2133605463668552,,1,-0.3555062113989971,,1
ensemble,final-cnn_neutral_cw0.5_k7_b1,0.55614018507784,,1,0.0220613322879899,,1,0.0396686534797016,,1,0.4925246871352708,,1,-1.327361448568139,,1
ensemble,final-cnn_neutral_cw0.5_k7_b10,0.4810731861120673,,1,0.0194757436099411,,1,0.0404839516567946,,1,0.1584424573344213,,1,-0.3250183462132339,,1
ensemble,final-cnn_neutral_cw0.5_k7_b2,0.5080042119095606,,1,0.0204198385176624,,1,0.0401961992419421,,1,0.3705374786062633,,1,-0.9685966231559746,,1
ensemble,final-cnn_neutral_cw0.5_k7_b20,0.2752257629057435,,1,0.0113113057635803,,1,0.0410982810771755,,1,0.1107722506469946,,1,-0.3726464303791651,,1
ensemble,final-cnn_neutral_cw0.5_k7_b3,0.614302372126223,,1,0.0249463568289407,,1,0.0406092471083848,,1,0.3007644366667346,,1,-0.6307771191628085,,1
ensemble,final-cnn_neutral_cw0.5_k7_b5,0.6551023547670028,,1,0.0262191777996166,,1,0.0400230248125758,,1,0.2289967079890864,,1,-0.3823612500790563,,1
ensemble,final-cnn_neutral_cw0.5_k8_b1,1.0095727074075835,,1,0.0386906236807525,,1,0.0383237615249164,,1,0.4722393677896395,,1,-0.8735186858959824,,1
ensemble,final-cnn_neutral_cw0.5_k8_b10,0.9644287395751338,,1,0.0374951594059477,,1,0.0388781025153457,,1,0.1679483121549143,,1,0.0942763492675865,,1
ensemble,final-cnn_neutral_cw0.5_k8_b2,0.9824712126050696,,1,0.0378875223950793,,1,0.0385634936769483,,1,0.3587340585903266,,1,-0.5177529375429627,,1
ensemble,final-cnn_neutral_cw0.5_k8_b20,0.6332782081217542,,1,0.0248691260983672,,1,0.0392704593011763,,1,0.1169602823990276,,1,-0.0647624103993784,,1
ensemble,final-cnn_neutral_cw0.5_k8_b3,1.0391142797003925,,1,0.0409403743681788,,1,0.0393992991608037,,1,0.3020671589935567,,1,-0.2483068272493903,,1
ensemble,final-cnn_neutral_cw0.5_k8_b5,1.1939323443592036,,1,0.045870086268108,,1,0.0384193346338456,,1,0.2372465505087604,,1,0.0862701855066952,,1
ensemble,final-cnn_neutral_cw0_b1,0.5420609282280775,,1,0.0247697822405814,,1,0.0456955684327783,,1,1.074409373981807,,1,-2.6966507396366013,,1
ensemble,final-cnn_neutral_cw0_b10,0.2471896403766831,,1,0.0114043489196585,,1,0.0461360310338244,,1,0.2878771644874898,,1,-0.8129674470858854,,1
ensemble,final-cnn_neutral_cw0_b2,0.6211479577352947,,1,0.0276995630623497,,1,0.0445941465594483,,1,0.7282341656592454,,1,-1.7196928133612477,,1
ensemble,final-cnn_neutral_cw0_b20,-0.0511883358018418,,1,-0.0024077291437825,,1,0.0470366755642001,,1,0.1933836371891167,,1,-0.8381925102697145,,1
ensemble,final-cnn_neutral_cw0_b3,0.73086395191706,,1,0.0331989170114399,,1,0.0454242091491295,,1,0.5818191239599435,,1,-1.1616597956296204,,1
ensemble,final-cnn_neutral_cw0_b5,0.5823387899674494,,1,0.0267704481146756,,1,0.0459705734460381,,1,0.4327119797588435,,1,-0.8789149638136,,1
ensemble,final-cnn_neutral_cw1_b1,-0.1317221145164585,,1,-0.0059427879403561,,1,0.0451160988583552,,1,0.3961286209081693,,1,-1.5173604567788626,,1
ensemble,final-cnn_neutral_cw1_b10,-0.2314035981211797,,1,-0.010264122622803,,1,0.044355933555657,,1,0.1348112405424333,,1,-0.8998957828682581,,1
ensemble,final-cnn_neutral_cw1_b2,-0.0085648748079621,,1,-0.0003791217164674,,1,0.0442647119739556,,1,0.300372485990463,,1,-1.1490997478621026,,1
ensemble,final-cnn_neutral_cw1_b20,-0.370291413061793,,1,-0.0171479085781391,,1,0.0463092255808739,,1,0.0965372214163128,,1,-0.9065411676194994,,1
ensemble,final-cnn_neutral_cw1_b3,0.0621554213095145,,1,0.0027552832851593,,1,0.0443289294338278,,1,0.2467957180665655,,1,-0.9253856097677832,,1
ensemble,final-cnn_neutral_cw1_b5,0.0225188217471355,,1,0.0010050767640695,,1,0.0446327421281458,,1,0.1913183332127726,,1,-0.8020535154867084,,1
ensemble,models-cnn_transformer_b1,0.5156382488752123,,1,0.0154151782095909,,1,0.0298953350400535,,1,0.6649653261516627,,1,-2.3399067373622056,,1
ensemble,models-cnn_transformer_b10,0.3083214186439862,,1,0.0065266527015624,,1,0.0211683402673321,,1,0.1019327030133992,,1,-0.3115226799737426,,1
ensemble,models-cnn_transformer_b3,0.7188717751739881,,1,0.0185062165991453,,1,0.0257434180033932,,1,0.2861360058404036,,1,-0.7168685180332508,,1
ensemble,models-cnn_transformer_b5,0.4213104952690579,,1,0.0100905708199365,,1,0.0239504378201936,,1,0.1881395090164384,,1,-0.5927521556886899,,1
ensemble,neutral-cnn_transformer_neutral_b1,0.5420609282280775,,1,0.0247697822405814,,1,0.0456955684327783,,1,1.074409373981807,,1,-2.6966507396366013,,1
ensemble,neutral-cnn_transformer_neutral_b10,0.2471896403766831,,1,0.0114043489196585,,1,0.0461360310338244,,1,0.2878771644874898,,1,-0.8129674470858854,,1
ensemble,neutral-cnn_transformer_neutral_b3,0.73086395191706,,1,0.0331989170114399,,1,0.0454242091491295,,1,0.5818191239599435,,1,-1.1616597956296204,,1
ensemble,neutral-cnn_transformer_neutral_b5,0.5823387899674494,,1,0.0267704481146756,,1,0.0459705734460381,,1,0.4327119797588435,,1,-0.8789149638136,,1
ensemble,neutral-ou_ffn_neutral_b1,0.0060306140712668,,1,0.0003079173236753,,1,0.0510590331327033,,1,0.4773445939625393,,1,-1.4181728019746465,,1
ensemble,neutral-ou_ffn_neutral_b10,0.1791568712720571,,1,0.008596591225335,,1,0.0479835976387463,,1,0.1411251159418843,,1,-0.4555005722395024,,1
ensemble,neutral-ou_ffn_neutral_b3,0.1911941642502846,,1,0.0097546651816821,,1,0.0510196805427216,,1,0.2755559121351321,,1,-0.7374457046104884,,1
ensemble,neutral-ou_ffn_neutral_b5,0.1987736013715774,,1,0.0099854883419915,,1,0.0502354853616865,,1,0.2090948156171103,,1,-0.577906671122513,,1
epochs,e10,-0.04391451550230877,0.2546741395517363,3,-0.0015748424771255332,0.008076339665492135,3,0.032691361631985834,0.0019688488423022055,3,0.614358155534866,0.05361715788084003,3,-2.5379239894335353,0.29528721483557696,3
epochs,e100,0.368224500465216,0.24376923013447893,3,0.013235201460979631,0.00867110133441418,3,0.036011921397462066,0.0003756097872120742,3,0.914224537813638,0.018595451779181243,3,-2.935785228778331,0.16548887587665084,3
epochs,e30,0.4866120289156939,0.15943077148157478,3,0.014981973925330433,0.0039443895604593365,3,0.03134921850358564,0.003388559348460626,3,0.7115633213468668,0.06686880273097479,3,-2.4639439724058296,0.12685003688946767,3
factors,cnn_transformer_k0,0.7802907078087479,0.04138018204712312,3,0.13313737059649508,0.008667822879410675,3,0.17057078847699061,0.0034985617946301554,3,0.8407358829162335,0.012824871873707303,3,0.1297150251817619,0.06013580525393816,3
factors,cnn_transformer_k1,0.5123063232081982,0.19486205827666353,3,0.0205098773187854,0.00725683252967177,3,0.040239222453303365,0.0021079814682384043,3,0.6885193153968293,0.04593540240117924,3,-1.712503920085042,0.20695663423823102,3
