run_name,model,lookback,seed,annualized_sharpe,annualized_return,annualized_volatility,max_drawdown,sortino_ratio,calmar_ratio,daily_turnover,net_sharpe_5bps,net_sharpe_10bps,breakeven_cost_bps,win_rate,cvar_95,hac_t_stat
epochs__e10__s2,cnn_transformer,30,2,0.22248016704228787,0.006890120113014561,0.030969592501721394,-0.05893366641191922,0.3190201563823097,0.11691314205459327,0.2848084181667037,-2.0950098475266814,-4.4124998620956495,0.4800024285836396,0.5104517869184086,0.0044817444731492335,0.5482621995560634
final__cnn_neutral_cw0.5__s0,cnn_transformer,30,0,0.22234282931949179,0.00946426721574878,0.04256610048867041,-0.06489107496872615,0.3140408216014101,0.14584851954309758,0.2860266739525381,-1.4709934408240328,-3.164329710967557,0.6565229636894458,0.5091031692515172,0.006105793265717047,0.5557163810733396
objective__mean_variance__s1,cnn_transformer,30,1,0.21023970768755093,0.010019927293109875,0.04765953778817584,-0.09589271749681938,0.30065839957471185,0.10449101406936366,0.5627060649443636,-2.765070900573534,-5.74038150883462,0.35330715909762633,0.5077545515846258,0.006933474143911263,0.571963021644824
architecture__d8_h2__s1,cnn_transformer,30,1,0.2086137078992499,0.007034127599174638,0.03371843427744343,-0.06967944000510284,0.3021394830836774,0.1009498296579265,0.36841050399010977,-2.544759899000829,-5.298133505900909,0.3788329113354877,0.5003371544167229,0.004872994117485056,0.5455448602661512
lookback__l10__s1,cnn_transformer,10,1,0.20660507186315738,0.006641809326415706,0.03214736824473911,-0.07388707934082983,0.2967366710421107,0.08989135022888309,0.4242195505785501,-3.1188094980616845,-6.444224067986528,0.31064558646567014,0.5229540918163673,0.004548909632929537,0.5013868057500247
lookback__l10__s0,cnn_transformer,10,0,0.20302244060006674,0.006419527995556622,0.03161979521368492,-0.05595567288131975,0.28189666782277834,0.11472523990860557,0.4076069274968627,-3.045478855346149,-6.293980151292365,0.3124863161566492,0.5109780439121756,0.0048084131769162534,0.5294355952150476
ensemble__neutral-ou_ffn_neutral_b5__ens,ou_ffn,30,-1,0.1987065726725276,0.009985488341991318,0.050252431047902994,-0.09416795561882885,0.2872892056955757,0.10603913270041243,0.10454740780855516,-0.32556551164995423,-0.849837595972436,1.8950710767798806,0.5138233310856373,0.006957020937663546,0.4897379622898901
ensemble__neutral-ou_ffn_neutral_b3__ens,ou_ffn,30,-1,0.19112969142287517,0.009754665181682122,0.051036890757595,-0.09511863866752279,0.2756005592827805,0.10255261553709352,0.13777795606756607,-0.489163414478366,-1.1694565203796072,1.4047598730966828,0.49561699258260283,0.0072073076281467625,0.46265085024049424
protocol__constant_w1000__s2,cnn_transformer,30,2,0.18905006655980353,0.00562039306888063,0.029729654007303367,-0.06553150272868524,0.2691461286240194,0.0857662778183224,0.3244497084110848,-2.5611106483784845,-5.311271363316773,0.34370730687287426,0.5010114632501685,0.00422093751784875,0.49742893609418576
protocol__rolling_w750__s0,cnn_transformer,30,0,0.18581253659152058,0.005946708977634091,0.0320038092516168,-0.0690758653322665,0.266137577077494,0.08608953284956422,0.3457797554903886,-2.5368789311179327,-5.259570398827387,0.3412295127729639,0.5118004045853001,0.004718605787970425,0.4764572556975998
ensemble__neutral-ou_ffn_neutral_b10__ens,ou_ffn,30,-1,0.17909645755553213,0.008596591225335144,0.04799978370688663,-0.0952406935320178,0.26199568139976764,0.09026174533730384,0.07056255797094217,-0.19135864110205286,-0.5618137397596379,2.417249191663476,0.5037086985839514,0.006475320678153358,0.43531373024164527
factors__fourier_ffn_k10__s1,fourier_ffn,30,1,0.17114701643372607,0.00253888707410001,0.014834538906982078,-0.05371703636777203,0.240370431618717,0.047264094331594224,0.07569669417226726,-1.1147417497100718,-2.4006305158538703,0.6654814200880383,0.5171948752528658,0.0021798874024271243,0.41368733108336436
final__cnn_neutral_cw0.5_k6__s1,cnn_transformer,30,1,0.17102794203384006,0.007247010986270215,0.0423732572589589,-0.10976187991994057,0.24675872683657804,0.06602484388529208,0.2036548285698799,-1.0401373098128073,-2.251302561659455,0.706047097095446,0.5010114632501685,0.005834102230576951,0.41747583645901165
objective__mean_variance__s0,cnn_transformer,30,0,0.16758693465845387,0.008248973527098904,0.049222056265367624,-0.11311046218475984,0.22979283915654497,0.07292847511863772,0.5771271495591289,-2.7871055898639017,-5.741798114386258,0.2835945420167626,0.5232636547538773,0.0074255204170956355,0.41936994908228686
